Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
2200342,2022,04/24/2023,East Hartford,28 ROLLING MEADOW DR,180900.00,203000.00,0.8911,Residential,Single Family,14 - Foreclosure,,,POINT (-72.587334976 41.765143001)
220161,2022,08/29/2023,North Branford,26 WOODHOUSE AVE,220900.00,445000.00,0.4964,Residential,Single Family,,,,POINT (-72.797966 41.397353011)
220150,2022,11/30/2022,Hartford,367 NEW PARK AVE,81916.00,350000.00,0.2340,Residential,Three Family,25 - Other,Listed on MLS as package w/ 371 New Park Ave,,POINT (-72.714376968 41.746118009)
220085,2022,11/04/2022,New Haven,387 LOMBARD ST #3,70210.00,110000.00,0.6382,Residential,Condo,,,,POINT (-72.898031004 41.31530101)
2200296,2022,05/17/2023,New Milford,78 SO KENT RD,195900.00,420000.00,0.4664,Residential,Single Family,,SALES RATIO,,POINT (-73.477078021 41.65633299)
2200107,2022,12/08/2022,New Milford,27 POPLAR ST,127770.00,283000.00,0.4515,Residential,Single Family,,SALES RATIO,,POINT (-73.408877996 41.583826007)
220948,2022,04/13/2023,Bridgeport,625 HART ST,139460.00,280000.00,0.4980,Residential,Single Family,,,,POINT (-73.201513986 41.207144997)
220400,2022,07/03/2023,Groton,47 NOANK LEDYARD RD,189840.00,418000.00,0.4541,Residential,Single Family,,,,POINT (-71.998732002 41.353345002)
220451,2022,03/30/2023,Meriden,125 CAMP ST,89600.00,271226.00,0.3304,Commercial,,09 - Tax,"TAX SALE OF MULTIPLE PROPERTIES TAX SALE BY TOWN  123,125,125 & 131 CAMP ST",,POINT (-72.828650901 41.520111128)
220485,2022,01/03/2023,Bridgeport,160 MOFFITT ST,144510.00,173000.00,0.8353,Residential,Single Family,25 - Other,EXECUTOR'S DEED,,POINT (-73.194594976 41.212865017)
220542,2022,07/26/2023,Enfield,20 SIDOR DR,149200.00,315000.00,0.4736,Residential,Single Family,,,,POINT (-72.568242006 41.974713002)
220252,2022,07/11/2023,New Canaan,499 COUNTRY CLUB RD,2485140.00,5075000.00,0.4896,Residential,Single Family,,,,POINT (-73.516759963 41.167035997)
22188,2022,04/06/2023,Montville,279 LYNCH HILL RD,216580.00,165000.00,1.3126,Residential,Single Family,14 - Foreclosure,"BANK SALE, CONDITION",,POINT (-72.134071995 41.468249998)
220746,2022,06/07/2023,Milford,61 WILSON ST,176240.00,325000.00,0.5422,Residential,Single Family,,,,POINT (-73.072571984 41.229821984)
221211,2022,07/10/2023,Fairfield,700 FLINTLOCK ROAD,710010.00,1575000.00,0.4508,Residential,Single Family,,,,POINT (-73.291954972 41.146458006)
220438,2022,03/23/2023,Meriden,58 BUTTON ST,198100.00,353500.00,0.5603,Residential,Single Family,,,,POINT (-72.78247398 41.560244989)
220654,2022,02/14/2023,Bridgeport,1054 HANCOCK AVE,586380.00,1400000.00,0.4188,Apartments,,,,,POINT (-73.215712008 41.173668011)
220148,2022,11/14/2022,Milford,121 GREEN MEADOW RD,252060.00,400000.00,0.6301,Residential,Single Family,,,,POINT (-73.035635032 41.251371983)
220143,2022,02/08/2023,New London,40 COIT ST,122780.00,223750.00,0.5487,Residential,Single Family,16 - Charitable Group,SOLD TO SCADD,,POINT (-72.10045897 41.35221202)
220091,2022,11/15/2022,Enfield,308 ENFIELD ST,171800.00,350000.00,0.4908,Commercial,,,,,POINT (-72.592692018 42.017277019)
220842,2022,08/02/2023,Hartford,936 WETHERSFIELD AVE UNIT 2,15472.00,55000.00,0.2813,Residential,Condo,,,,POINT (-72.668325031 41.730612997)
200113,2020,01/14/2021,Suffield,4 CHELTENHAM CT,98280.00,169900.00,0.5784,Residential,Condo,,,,
22011,2022,10/17/2022,Columbia,HUNT ROAD,42700.00,65000.00,0.6569,Vacant Land,,25 - Other,UNKNOWN,NO MLS,POINT (-72.322385356 41.674814974)
221407,2022,10/26/2022,Manchester,310 MAIN STREET,77600.00,30000.00,2.5867,Commercial,,25 - Other,NA,BELOW MARKET,POINT (-72.52322096 41.782892017)
2200078,2022,12/02/2022,East Haven,75 REDWOOD DR #208,129850.00,230000.00,0.5645,Residential,Condo,,,,POINT (-72.847535989 41.328656986)
220088,2022,01/03/2023,New Canaan,19 HAMPTON LA,563500.00,715000.00,0.7881,Residential,Single Family,,,,POINT (-73.495293992 41.155031981)
220105,2022,04/04/2023,Coventry,28 ARMSTRONG RD #C25,142300.00,267500.00,0.5319,Residential,Single Family,,,,POINT (-72.291909015 41.763261013)
220595,2022,06/06/2023,Greenwich,51 FOREST AVENUE #51,558740.00,1000000.00,0.5587,Residential,Condo,,,,POINT (-73.565145002 41.034788006)
220243,2022,07/06/2023,Killingly,499 HARTFORD PIKE,157080.00,133000.00,1.1810,Apartments,,,,,POINT (-71.885772027 41.845162013)
223365,2022,06/28/2023,Newington,321 CANDLEWYCK DR,220270.00,515000.00,0.4277,Residential,Single Family,,,,POINT (-72.70710399 41.658016998)
